id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38283,-99.27178,Entire home/apt,4001,1,0,,,1,363,0,
783480,"Area Sta.Fe,IberoABC Hospital Rooms",4129056,Janet,,Cuajimalpa de Morelos,19.35379,-99.28459,Private room,500,2,27,2019-11-30,0.26,2,363,0,
44616,CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41162,-99.17794,Entire home/apt,18000,1,58,2022-08-29,0.44,12,331,8,
796477,Classic but Modern Apartment in Condesa,4195771,Jair,,Cuauhtémoc,19.41824,-99.1756,Private room,599,3,144,2022-05-18,1.52,1,323,3,
56074,Great space in historical San Rafael,265650,Maris,,Cuauhtémoc,19.43977,-99.15605,Entire home/apt,650,2,76,2022-09-08,0.54,2,354,15,
817291,Live Mexico City Like a Small Town,4017148,Alberto & Lu,,Benito Juárez,19.38468,-99.17708,Entire home/apt,740,2,61,2021-10-31,0.51,1,314,1,
822005,AMAZING LOFT in the heart of CDMX,4316391,Alejandro,,Miguel Hidalgo,19.40243,-99.17828,Entire home/apt,1441,4,51,2022-08-13,0.46,1,319,2,
58955,Entire beautiful duplex in la Roma,282620,Laura,,Cuauhtémoc,19.42113,-99.15955,Entire home/apt,1797,3,47,2022-09-09,0.36,1,1,5,
61792,Spacious Clean Quiet room (own bath) in la Condesa,299558,Roberto,,Cuauhtémoc,19.41083,-99.18057,Private room,1198,2,58,2022-06-15,0.97,1,175,6,
824016,Suite 5 - Suites Condesa Mexico,4326326,Rodrigo,,Cuauhtémoc,19.40915,-99.17321,Entire home/apt,900,30,46,2019-11-07,0.41,6,206,0,
826691,Suite 7 - Suites Condesa Mexico,4326326,Rodrigo,,Cuauhtémoc,19.40915,-99.17321,Entire home/apt,850,180,18,2019-05-11,0.17,6,326,0,
67703,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,,Cuauhtémoc,19.41152,-99.16857,Entire home/apt,2496,4,43,2022-07-07,0.33,2,324,4,
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoacán,19.35448,-99.16217,Entire home/apt,1178,7,113,2022-09-05,0.87,2,156,8,
107078,NEW  DESIGNER LOFT,540705,Andrea,,Miguel Hidalgo,19.43211,-99.19327,Entire home/apt,3754,3,10,2019-10-05,0.13,3,281,0,
