Date,R1_SRP,R1_TP,R1_TDP,H1_SRP,H1_TP,H1_TDP
2005-06-08,0.063253924,0.163345383,0.098152639,2.41652704,7.308092895,4.183575945
2005-06-09,0.16138661,0.416760827,0.250427494,5.686678351,17.19772755,9.844976019
2005-06-10,2.406544274,6.214600972,3.734292785,8.608198407,26.03302698,14.9028135
2005-06-11,2.968577595,7.66598205,4.606413442,17.38438425,52.57408378,30.09645271
2005-06-12,3.733346729,9.640903126,5.793124151,24.24506452,73.32224339,41.97390182
2005-06-13,4.696913233,12.12919366,7.288313531,42.21593591,127.6699893,73.08570154
2005-06-14,8.752518146,22.60228842,13.58149348,57.33732452,168.3606808,98.29550588
2005-06-15,20.64320984,53.30851932,32.03256652,86.62717585,231.6718219,144.1453894
2005-06-16,37.07291494,95.73618725,57.52693614,116.9540329,297.2244907,191.6185857
2005-06-17,60.51280401,156.2667825,93.89917726,139.068662,345.0261128,226.2364866
2005-06-18,89.9488195,232.2816277,139.5757524,155.1238905,379.7301072,251.3690948
2005-06-19,105.277282,271.8654736,163.3612972,167.7851258,407.0978545,271.188798
2005-06-20,113.5121676,293.1310404,176.1395678,177.1773803,427.3995742,285.8912891
2005-06-21,125.4794097,324.0349534,194.709426,181.7628189,437.3111762,293.0692642
2005-06-22,133.092298,343.6942896,206.5225284,190.5049202,456.2075647,306.7540153
2005-06-23,141.0270971,364.1849204,218.8351475,200.8474743,478.5633934,322.9440907
2005-06-24,151.2514127,390.5879424,234.7004645,211.5976553,501.8003234,339.772259
2005-06-25,161.8752329,418.0226354,251.1857025,221.9085765,524.0877766,355.9128168
2005-06-26,172.3898351,445.1752866,267.5014644,230.7842038,543.2727865,369.8065873
2005-06-27,181.6694695,469.1387871,281.9008968,237.5644638,557.9285794,380.4203022
2005-06-28,193.7767336,506.6322496,299.5875449,242.3993119,568.3792898,387.9886992
2005-06-29,204.0277304,541.9061916,313.93894,248.938979,580.7404833,397.0494997
2005-06-30,213.7452135,575.3442993,327.543416,255.8910851,593.8812639,406.6817403
2005-07-01,226.6025697,619.5867907,345.5437142,262.9066651,607.142022,416.4019248
2005-07-02,238.5429353,660.6738939,362.2602255,276.465851,632.7714187,435.188367
2005-07-03,286.1442277,824.471158,428.9020331,293.0293399,664.0795097,458.1373131
2005-07-04,337.2853603,1000.449103,500.4996167,304.5139571,685.7875837,474.0494113
2005-07-05,348.2947588,1038.332724,515.9127741,312.7927124,701.4359793,485.519743
2005-07-06,354.5297245,1059.787401,524.6417259,319.8729076,714.818872,495.3294526
2005-07-07,359.046594,1075.330064,530.9653431,327.6303878,729.4819602,506.0775504
2005-07-08,361.4476524,1083.592167,534.3268247,334.5724912,742.6038337,515.695932
2005-07-09,363.768843,1091.579443,537.5764914,339.8508576,752.5809331,523.0091826
2005-07-10,365.5254308,1097.623907,540.0357142,344.9698434,762.2567734,530.1016092
2005-07-11,370.5886213,1115.046475,547.1241808,351.9508921,775.4522609,539.7739501
2005-07-12,371.5177296,1118.427132,548.2984439,360.6352326,791.8672882,551.8062257
2005-07-13,372.603669,1122.521718,549.5721913,375.0953455,818.7715288,568.1173794
2005-07-14,373.8088889,1127.066058,550.9858482,388.171944,843.1016258,582.8679147
2005-07-15,380.8528277,1153.625565,559.2480022,406.2584678,876.7531049,603.2696966
2005-07-16,382.1513682,1158.521774,560.771119,419.823151,901.9913241,618.5707965
2005-07-17,384.2600589,1166.472694,563.2444976,436.4816005,932.9857525,637.3616961
2005-07-18,386.0133242,1173.083464,565.3009816,447.0724982,952.6909968,649.3083358
2005-07-19,391.2252634,1192.73533,571.4143006,466.0753488,988.047378,670.7437436
2005-07-20,394.7231122,1205.924136,575.5170855,481.8050978,1017.313882,688.4870597
2005-07-21,397.5630337,1216.632196,578.8481577,505.8960313,1062.137064,715.6618764
2005-07-22,399.1167282,1222.490475,580.6705562,521.9154956,1091.942607,733.7319941
2005-07-23,410.192414,1264.251878,593.6617284,568.2440485,1178.140726,785.9910705
2005-07-24,450.8003734,1417.366129,641.2926384,622.7727927,1279.595981,847.5000457
2005-07-25,488.8686547,1560.904404,685.9446453,661.2260377,1351.141436,890.8756951
2005-07-26,515.4798098,1661.243036,717.1580712,684.7955265,1394.994427,917.4623169
2005-07-27,531.803134,1709.389876,736.0900878,699.4641426,1424.641872,934.8563706
2005-07-28,545.7202524,1740.974826,752.0799685,708.7292831,1445.56204,946.632624
2005-07-29,556.6578985,1765.797852,764.6466258,717.3490723,1465.025041,957.5886177
2005-07-30,566.6680506,1788.515928,776.1476516,726.2120226,1485.037086,968.853676
2005-07-31,572.7458148,1802.309435,783.1306147,744.4670953,1526.256018,992.0563852
2005-08-01,577.0679592,1812.118557,788.0964827,766.6337718,1576.307132,1020.230853
2005-08-02,583.1383376,1825.895303,795.0709601,777.8684724,1601.674456,1034.510472
2005-08-03,588.6462587,1838.395549,801.3992098,787.9834178,1624.513436,1047.366851
2005-08-04,593.8527161,1850.211623,807.3810971,795.1603503,1640.718548,1056.488934
2005-08-05,598.0012867,1859.626818,812.1475398,795.1603503,1640.718548,1056.488934
2005-08-06,601.9580071,1868.606609,816.693559,795.1603503,1640.718548,1056.488934
2005-08-07,606.4948108,1878.902901,821.9060569,795.1603503,1640.718548,1056.488934
2005-08-08,610.3174011,1887.578284,826.2979692,795.1603503,1640.718548,1056.488934
2005-08-09,614.1211488,1896.210903,830.6682325,795.1603503,1640.718548,1056.488934
2005-08-10,617.9138631,1904.818481,835.0258191,795.1603503,1640.718548,1056.488934
2005-08-11,618.8932033,1909.599566,836.8688831,795.1603503,1640.718548,1056.488934
2005-08-12,619.6130347,1913.113743,838.2235657,795.1603503,1640.718548,1056.488934
2005-08-13,620.4449968,1917.175336,839.7892724,795.1603503,1640.718548,1056.488934
2005-08-14,621.06583,1920.20621,840.957646,795.1603503,1640.718548,1056.488934
2005-08-15,621.5220149,1922.433279,841.8161607,795.1603503,1640.718548,1056.488934
2005-08-16,621.8660864,1924.113017,842.4636841,795.1603503,1640.718548,1056.488934
2005-08-17,622.2847651,1926.156984,843.2516142,795.1603503,1640.718548,1056.488934
2005-08-18,624.1311171,1935.170772,846.7263462,795.1603503,1640.718548,1056.488934
2005-08-19,626.7468605,1947.940687,851.6490302,795.1603503,1640.718548,1056.488934
2005-08-20,628.5082506,1956.539696,854.9638686,795.1603503,1640.718548,1056.488934
2005-08-21,630.1291432,1964.452804,858.0142986,795.1603503,1640.718548,1056.488934
