year,state,gender,statistic,gross_income_euros
2017,nationwide,both,mean,23646.5
2016,nationwide,both,mean,23156.34
2015,nationwide,both,mean,23106.3
2014,nationwide,both,mean,22858.17
2013,nationwide,both,mean,22697.86
2012,nationwide,both,mean,22726.44
2011,nationwide,both,mean,22899.35
2010,nationwide,both,mean,22790.2
2009,nationwide,both,mean,22511.47
2008,nationwide,both,mean,21883.42
2017,nationwide,both,10th_percentile,8583.81
2016,nationwide,both,10th_percentile,8095.44
2015,nationwide,both,10th_percentile,7962.45
2014,nationwide,both,10th_percentile,7626.2
2013,nationwide,both,10th_percentile,7692.3
2012,nationwide,both,10th_percentile,7979.4
2011,nationwide,both,10th_percentile,8402.15
2010,nationwide,both,10th_percentile,8643.66
2009,nationwide,both,10th_percentile,8723.15
2008,nationwide,both,10th_percentile,8903.52
2017,nationwide,both,lower_quartile,13897.22
2016,nationwide,both,lower_quartile,13369.74
2015,nationwide,both,lower_quartile,13414.92
2014,nationwide,both,lower_quartile,13217.84
2013,nationwide,both,lower_quartile,13039.36
2012,nationwide,both,lower_quartile,13369.45
2011,nationwide,both,lower_quartile,13553.97
2010,nationwide,both,lower_quartile,13602.53
2009,nationwide,both,lower_quartile,13587.26
2008,nationwide,both,lower_quartile,13342.53
2017,nationwide,both,median,19830.12
2016,nationwide,both,median,19432.62
2015,nationwide,both,median,19466.49
2014,nationwide,both,median,19263.78
2013,nationwide,both,median,19029.66
2012,nationwide,both,median,19040.98
2011,nationwide,both,median,19303.51
2010,nationwide,both,median,19017.09
2009,nationwide,both,median,18803.28
2008,nationwide,both,median,18244.4
2017,nationwide,both,upper_quartile,29628.64
2016,nationwide,both,upper_quartile,29191.56
2015,nationwide,both,upper_quartile,29163.66
2014,nationwide,both,upper_quartile,28782.7
2013,nationwide,both,upper_quartile,28563.69
2012,nationwide,both,upper_quartile,28395.5
2011,nationwide,both,upper_quartile,28658.66
2010,nationwide,both,upper_quartile,28255.45
2009,nationwide,both,upper_quartile,28024.86
2008,nationwide,both,upper_quartile,26874.02
2017,nationwide,both,90th_percentile,42454.21
2016,nationwide,both,90th_percentile,41855.38
2015,nationwide,both,90th_percentile,41648.67
2014,nationwide,both,90th_percentile,41350.36
2013,nationwide,both,90th_percentile,41108.4
2012,nationwide,both,90th_percentile,40807.99
2011,nationwide,both,90th_percentile,40680.54
2010,nationwide,both,90th_percentile,40811.42
2009,nationwide,both,90th_percentile,40123.94
2008,nationwide,both,90th_percentile,38558.29
2017,nationwide,female,mean,20607.85
2016,nationwide,female,mean,20131.41
2015,nationwide,female,mean,20051.58
2014,nationwide,female,mean,19744.82
2013,nationwide,female,mean,19514.58
2012,nationwide,female,mean,19537.33
2011,nationwide,female,mean,19767.59
2010,nationwide,female,mean,19735.22
2009,nationwide,female,mean,19502.02
2008,nationwide,female,mean,18910.62
2017,nationwide,female,10th_percentile,7161.93
2016,nationwide,female,10th_percentile,6808.88
2015,nationwide,female,10th_percentile,6630.92
2014,nationwide,female,10th_percentile,6205.32
2013,nationwide,female,10th_percentile,6457.78
2012,nationwide,female,10th_percentile,6750.12
2011,nationwide,female,10th_percentile,6996.22
2010,nationwide,female,10th_percentile,7001.27
2009,nationwide,female,10th_percentile,7027.1
2008,nationwide,female,10th_percentile,7088.36
2017,nationwide,female,lower_quartile,11567.75
2016,nationwide,female,lower_quartile,11129.97
2015,nationwide,female,lower_quartile,10993.54
2014,nationwide,female,lower_quartile,10900.7
2013,nationwide,female,lower_quartile,10801.94
2012,nationwide,female,lower_quartile,11153.94
2011,nationwide,female,lower_quartile,11376.86
2010,nationwide,female,lower_quartile,11462.43
2009,nationwide,female,lower_quartile,11324.09
2008,nationwide,female,lower_quartile,11038.28
2017,nationwide,female,median,17214.6
2016,nationwide,female,median,16831.58
2015,nationwide,female,median,16825.11
2014,nationwide,female,median,16771.32
2013,nationwide,female,median,16452.43
2012,nationwide,female,median,16524.51
2011,nationwide,female,median,16796.41
2010,nationwide,female,median,16536.1
2009,nationwide,female,median,16433.14
2008,nationwide,female,median,15886.02
2017,nationwide,female,upper_quartile,26174.19
2016,nationwide,female,upper_quartile,25711.14
2015,nationwide,female,upper_quartile,25562.92
2014,nationwide,female,upper_quartile,25134.57
2013,nationwide,female,upper_quartile,24568.84
2012,nationwide,female,upper_quartile,24505.75
2011,nationwide,female,upper_quartile,25038.56
2010,nationwide,female,upper_quartile,24751.72
2009,nationwide,female,upper_quartile,24556.88
2008,nationwide,female,upper_quartile,23446.18
2017,nationwide,female,90th_percentile,37896.51
2016,nationwide,female,90th_percentile,37167.95
2015,nationwide,female,90th_percentile,37098.89
2014,nationwide,female,90th_percentile,36627.29
2013,nationwide,female,90th_percentile,36068.77
2012,nationwide,female,90th_percentile,35506.25
2011,nationwide,female,90th_percentile,35871.36
2010,nationwide,female,90th_percentile,36249.13
2009,nationwide,female,90th_percentile,36009.1
2008,nationwide,female,90th_percentile,34397.13
2017,nationwide,male,mean,26391.84
2016,nationwide,male,mean,25924.43
2015,nationwide,male,mean,25992.76
2014,nationwide,male,mean,25727.24
2013,nationwide,male,mean,25675.17
2012,nationwide,male,mean,25682.05
2011,nationwide,male,mean,25667.89
2010,nationwide,male,mean,25479.74
2009,nationwide,male,mean,25001.05
2008,nationwide,male,mean,24203.33
2017,nationwide,male,10th_percentile,11393.3
2016,nationwide,male,10th_percentile,10760.06
2015,nationwide,male,10th_percentile,11101.74
2014,nationwide,male,10th_percentile,10242.05
2013,nationwide,male,10th_percentile,10020.04
2012,nationwide,male,10th_percentile,10552.8
2011,nationwide,male,10th_percentile,10973.96
2010,nationwide,male,10th_percentile,11391.44
2009,nationwide,male,10th_percentile,11552.95
2008,nationwide,male,10th_percentile,11594.27
2017,nationwide,male,lower_quartile,16326.55
2016,nationwide,male,lower_quartile,15832.23
2015,nationwide,male,lower_quartile,15962.29
2014,nationwide,male,lower_quartile,15688.2
2013,nationwide,male,lower_quartile,15555.04
2012,nationwide,male,lower_quartile,15705.88
2011,nationwide,male,lower_quartile,15718.4
2010,nationwide,male,lower_quartile,15770.16
2009,nationwide,male,lower_quartile,15545.16
2008,nationwide,male,lower_quartile,15160.0
2017,nationwide,male,median,21970.34
2016,nationwide,male,median,21626.0
2015,nationwide,male,median,21740.88
2014,nationwide,male,median,21528.5
2013,nationwide,male,median,21371.13
2012,nationwide,male,median,21425.14
2011,nationwide,male,median,21487.99
2010,nationwide,male,median,21206.99
2009,nationwide,male,median,20730.71
2008,nationwide,male,median,20057.56
2017,nationwide,male,upper_quartile,32512.91
2016,nationwide,male,upper_quartile,32178.45
2015,nationwide,male,upper_quartile,32194.83
2014,nationwide,male,upper_quartile,31837.0
2013,nationwide,male,upper_quartile,32114.8
2012,nationwide,male,upper_quartile,31866.94
2011,nationwide,male,upper_quartile,31874.98
2010,nationwide,male,upper_quartile,31164.24
2009,nationwide,male,upper_quartile,30678.89
2008,nationwide,male,upper_quartile,29385.82
2017,nationwide,male,90th_percentile,45813.46
2016,nationwide,male,90th_percentile,45543.69
2015,nationwide,male,90th_percentile,45148.06
