id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13358,Monthly (or Longer ) Designer One Bedroom Downtown,52116,Lynn,,West End,49.28201,-123.12669,Entire home/apt,100,30,437,2022-07-05,2.94,1,35,7,18-611603
13490,Vancouver's best kept secret,52467,Iris,,Kensington-Cedar Cottage,49.25622,-123.06607,Entire home/apt,150,30,94,2022-09-01,0.68,1,204,4,
14267,EcoLoft Vancouver,56030,Peter & Alison,,Kensington-Cedar Cottage,49.24922,-123.08139,Entire home/apt,150,3,34,2021-07-14,0.23,1,0,0,21-156500
14424,Spacious one-bedroom in sought-after Strathcona,56709,Samantha Jo,,Downtown Eastside,49.27921,-123.08835,Entire home/apt,166,30,261,2022-08-16,1.71,3,185,3,19-162091
16254,Close to PNE/Hastings Park Garden level suite,63238,Jason,,Hastings-Sunrise,49.27721,-123.04086,Entire home/apt,350,3,7,2022-07-30,0.14,1,10,2,19-162421
16611,"1 block to skytrain station, shops,restaurant,bank",58512,Q,,Grandview-Woodland,49.26339,-123.07145,Entire home/apt,100,365,3,2018-02-16,0.05,5,90,0,
17158,Vancouver 3br 3ba house 20min to DT,48673,Elaine,,Renfrew-Collingwood,49.25277,-123.03774,Entire home/apt,195,4,7,2021-09-29,0.05,1,2,1,18-573474
17765,"Central location, nice little apartment",68672,James,,Mount Pleasant,49.26132,-123.10845,Entire home/apt,94,5,203,2021-10-01,1.68,1,0,3,21-156705
18270,private rm in clean central 2BR apt,70437,Ran,,Mount Pleasant,49.26557,-123.096,Private room,51,30,118,2019-12-31,0.84,1,281,0,
18589,Commercial Drive B&B,71508,Sylvain & Alexis,,Grandview-Woodland,49.27569,-123.07057,Private room,106,1,435,2022-08-02,3.17,1,186,45,22-156002
18795,*Best choice in downtown-5 Stars * -2,70137,Kai,,West End,49.28299,-123.13008,Private room,85,30,126,2022-09-03,0.91,3,330,4,18-573700
19527,Spacious Apartment near Granville Island and VGH,74129,Bevin,,Fairview,49.26018,-123.13477,Entire home/apt,133,31,49,2022-02-27,0.32,1,0,3,20-161658
19621,Beautiful 2 Br 2 Bath + Den Yaletown Seawall,74380,Shirin,,Downtown,49.27323,-123.12032,Entire home/apt,190,30,2,2022-07-25,0.73,1,233,2,
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,,Kensington-Cedar Cottage,49.25636,-123.08636,Entire home/apt,99,30,75,2021-12-02,0.49,1,101,1,Exempt
20369,"Relocating , working in North Vancouver ?",76890,Margaret,,Hastings-Sunrise,49.30689,-123.03184,Entire home/apt,195,5,3,2021-08-26,0.06,8,345,0,
20377,Hotel alternative furnished rooms in B&B North Van,76890,Margaret,,Grandview-Woodland,49.30581,-123.06809,Private room,249,2,2,2022-04-06,0.15,8,21,1,
21912,PRIVATE ROOM + BATH + KING BED + dedicated entry,83871,Adam,,Renfrew-Collingwood,49.23361,-123.05283,Private room,75,30,362,2022-08-28,2.66,3,275,21,22-156397
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Adam,,Renfrew-Collingwood,49.23442,-123.05307,Entire home/apt,102,30,222,2022-08-09,1.69,3,273,5,22-156397
24273,Walker's paradise in Kitsilano,1267409,Julia,,Kitsilano,49.26216,-123.1715,Entire home/apt,140,30,16,2021-03-01,0.14,2,84,0,20-175617
26047,The Alpha Downtown by COMFYSUITES,109845,Alicia,,Downtown,49.28086,-123.12375,Entire home/apt,160,30,38,2022-02-27,0.28,4,197,3,
32746,Designer Urban Park View Townhouse,52118,Liliana,,Downtown,49.2792,-123.105,Entire home/apt,127,30,86,2022-08-13,0.58,2,343,4,
33150,“Suite on Main”  near  Q.E Park,143724,Ili,,Riley Park,49.24677,-123.1048,Entire home/apt,165,4,89,2022-09-04,0.65,1,256,25,22-156658
35102,FURNISHED 2Br + 2Br Yaletown PRIME location!,2283739,Karina,,Downtown,49.27743,-123.11869,Entire home/apt,147,30,76,2018-08-26,0.52,1,269,0,#20-198999
35304,"Private Quiet Studio in the HEART of ""The Drive""",151996,Howie And Lisa,,Grandview-Woodland,49.2729,-123.06973,Entire home/apt,109,2,502,2022-09-07,3.41,1,306,66,22-155951
42645,The Charlie Downtown by COMFYSUITES,109845,Alicia,,Downtown,49.28036,-123.1234,Entire home/apt,169,30,34,2022-08-21,0.23,4,135,4,
48146,Executive Furnished Apartment (2 months minimum),219431,Damien,,Renfrew-Collingwood,49.23653,-123.02664,Entire home/apt,110,60,0,,,2,326,0,
49736,Boutique Studio Apartment in Kits!,227101,Sarah,,Kitsilano,49.26778,-123.14674,Entire home/apt,1950,31,9,2016-08-22,0.06,1,0,0,
54261,Yaletown 1 Bedroom Condo,254337,Edgar,,Downtown,49.27462,-123.12426,Entire home/apt,89,90,37,2019-07-09,0.27,2,135,0,
70453,"Open-concept, Modern Heritage Home with over 20 Skylights",56709,Samantha Jo,,Downtown Eastside,49.27836,-123.08716,Entire home/apt,592,3,31,2022-09-05,0.35,3,15,7,19-162091
72659,Central Convenient Vibrant Neighbourhood!,375168,Donna,,Grandview-Woodland,49.27345,-123.07031,Entire home/apt,210,7,12,2018-05-23,0.10,1,45,0,21-157075
73841,Amazing Downtown Vancouver Condo!,386761,Ying Ying,,Downtown,49.27591,-123.12359,Entire home/apt,129,30,20,2022-08-06,0.15,1,133,4,
77157,Room with a Garden View!,412802,Anne,,Arbutus Ridge,49.2452,-123.16544,Entire home/apt,145,3,701,2022-08-25,5.01,2,300,51,22-156332
98830,Your Downtown Executive Suite,520997,Cristina,,Downtown,49.27936,-123.12443,Entire home/apt,135,30,270,2022-08-01,1.96,1,30,3,18-550967
125176,Main Street Vineyard,622926,Mark,,Riley Park,49.24615,-123.09462,Private room,105,3,581,2022-09-07,4.29,1,306,75,22-156951
134688,"West view, Transit convenient, clean & comfortable",653436,Pirike,,Renfrew-Collingwood,49.24356,-123.04757,Private room,40,30,43,2022-05-20,0.32,5,165,2,
140698,"1905 Heritage Loft, Main/Broadway, Olympic Village",69640,Stephen,,Mount Pleasant,49.26382,-123.10484,Entire home/apt,99,6,140,2022-08-12,1.03,1,199,17,21-156960
170137,Family friendly Point Grey Home,381497,Catherine,,Dunbar Southlands,49.25757,-123.18966,Entire home/apt,175,2,201,2022-08-21,1.50,1,177,37,22-156180
172827,Charming and Homely Downtown Penthouse,19982,Fernande,,Downtown,49.28034,-123.12648,Entire home/apt,400,10,7,2019-12-28,0.14,1,0,0,18 549804 SA
174135,VANCOUVER'S BEST PRIVATE SUITE/LOFT,831892,Hollie,,Downtown Eastside,49.27857,-123.0899,Entire home/apt,90,30,119,2022-06-30,0.89,1,26,3,
182451,KITS SUPER CENTRAL DELIGHTFULL APT!,874660,Penny,,Kitsilano,49.25808,-123.16824,Entire home/apt,131,30,57,2021-02-28,0.42,1,67,0,18-610-361
219261,A Real Gem in the Heart of Kits,1135259,Rami,,Kitsilano,49.2719,-123.15043,Entire home/apt,210,2,221,2022-08-18,3.02,3,235,12,21-157255
248014,"Stunning views, comfort, location!!",1299977,Gabriella,,Grandview-Woodland,49.29103,-123.05782,Entire home/apt,100,31,1,2014-09-04,0.01,1,209,0,
254657,Heritage Loft in heart of Gastown,241920,Scott,,Downtown Eastside,49.28375,-123.10383,Entire home/apt,250,4,82,2022-08-25,0.72,1,0,9,22-156187
256178,Luxury Coach House in Kitsilano,1267409,Julia,,Kitsilano,49.26293,-123.17143,Entire home/apt,170,30,24,2021-12-31,0.20,2,235,8,21-156342
258636,FABULOUS Luxury Downtown Vancouver!,948852,Ian,,Downtown,49.27839,-123.12852,Entire home/apt,99,120,53,2021-03-31,0.41,1,253,0,
306178,Sunset views - LGBTQ2+ friendly,1574553,Michelle,,Renfrew-Collingwood,49.23273,-123.02747,Private room,84,2,82,2022-09-06,0.68,2,84,10,18-596029
311354,Close to downtown/shops/restaurants/skytrain,58512,Q,,Grandview-Woodland,49.26328,-123.07086,Entire home/apt,100,365,6,2019-12-21,0.10,5,90,0,18-475635
322824,Modern Yaletown 1BR | GREAT VIEW + CENTRAL,1652613,Blake,,Downtown,49.27608,-123.12452,Entire home/apt,182,30,149,2022-07-21,1.17,2,170,5,
359942,Stylish Modern Central Downtown★★★★★★★,1200456,Nala,,Downtown,49.27634,-123.11825,Private room,263,2,45,2022-09-04,0.35,5,357,1,18607863 AM
377706,Bright Spacious Bedroom Pvt Bath,1898008,Tina,,Grandview-Woodland,49.27799,-123.07101,Private room,48,30,58,2022-08-01,0.47,1,130,1,
415700,"LARGE PRIVATE ROOM+BATH, KING BED, dedicated entry",83871,Adam,,Renfrew-Collingwood,49.2332,-123.0551,Private room,83,30,235,2022-08-03,1.86,3,273,22,22-156397
436032,Trendy & Spacious 2 bd Gastown Loft,2165986,Kristy,,Downtown Eastside,49.28211,-123.10453,Entire home/apt,290,3,122,2022-09-07,0.97,1,287,37,22-156087
448104,Home (Office) Away from Home – Heart of Downtown,179396,Lili,,Downtown,49.28063,-123.12502,Entire home/apt,162,30,263,2022-07-01,2.09,4,1,4,21-104936
461386,Beautiful room (s) Vancouver Home,1200456,Nala,,Killarney,49.23034,-123.02971,Private room,141,2,38,2022-09-03,0.30,5,352,3,18-607373
464172,"House in sought-after Sunrise Hastings, Vancouver",2189535,Martine,,Hastings-Sunrise,49.28586,-123.05563,Entire home/apt,231,2,5,2022-08-13,0.05,1,7,4,22-157679
475296,Inspiring Gastown loft with deck + rooftop,2356016,Jocelyn,,Downtown Eastside,49.28241,-123.10381,Entire home/apt,350,2,184,2022-08-27,1.66,1,328,32,22-156464
485225,Vancouver One Bedroom,103427,Jacqueline M,,Downtown,49.28052,-123.12691,Entire home/apt,358,2,1,2014-08-04,0.01,2,364,0,Exempt
496298,"Downtown 1Bed+Den, stylish & modern",2451689,Marlin,,Downtown,49.28062,-123.11815,Entire home/apt,124,31,159,2021-10-02,1.28,1,258,1,
498112,Central Modern House with View and 2 Kitchens,2459577,Allison,,Kensington-Cedar Cottage,49.25099,-123.07457,Entire home/apt,375,9,35,2022-08-28,0.28,2,97,4,22-156483
540348,Modern Architectural lakeside Home On The Park,2655554,Kristen,,Kensington-Cedar Cottage,49.25759,-123.06393,Entire home/apt,500,1,56,2022-08-29,0.51,1,348,21,22-156577
544358,Moments from downtown Vancouver!,2676706,Daniel,,Hastings-Sunrise,49.27234,-123.01326,Entire home/apt,145,2,65,2022-09-01,0.53,1,351,4,
557357,Commercial Dr West Coast Garden Ste,525761,Diane,,Grandview-Woodland,49.27917,-123.06246,Entire home/apt,80,30,192,2022-06-01,1.55,1,303,4,19-114782
622217,Sub-Penthouse with Amazing Views in Heart of City,3084195,Arash,,Downtown,49.27999,-123.1075,Entire home/apt,556,2,56,2022-07-08,0.50,2,325,12,22-156240
625396,Close to Jericho beach garden level open space.,3102862,The Vancouver Connection!,,Kitsilano,49.27066,-123.18291,Private room,380,2,169,2022-07-27,1.38,1,357,1,19-179923
648026,Quiet Oasis Garden Suite - Steps from the Drive,893727,Peter & Robin,,Grandview-Woodland,49.26775,-123.06862,Entire home/apt,84,30,62,2022-05-01,0.51,1,19,4,20-154141
654744,English Bay Hideaway @ Stanley Park,2796859,James,,West End,49.29178,-123.14175,Entire home/apt,150,30,67,2022-07-29,0.59,1,250,5,19-104667
654763,1 Bedroom Private Furnished Suite,2459577,Allison,,Kensington-Cedar Cottage,49.2506,-123.07175,Entire home/apt,52,30,22,2020-03-14,0.19,2,194,0,
659986,Nice room in amazing luxury home near DOWNTOWN+UBC,84820,Chris,,South Cambie,49.24413,-123.11955,Private room,96,31,27,2018-05-06,0.23,1,0,0,86-13134
703179,Entire cute  condo full of art,3246254,Izabela,,Downtown,49.27945,-123.10875,Entire home/apt,190,14,173,2022-01-02,1.46,1,123,7,22-156488
713271,Luxury Seaview Studio Suite - Westend,3671073,Susan,,West End,49.28104,-123.13621,Entire home/apt,135,30,87,2022-08-14,0.77,1,152,7,
731219,Kitsilano Laneway House - Quiet Neighbourhood,3804851,Fran & Julian,,Kitsilano,49.26026,-123.18195,Entire home/apt,150,31,12,2022-04-08,0.11,1,31,1,
735468,English Bay Views,3462044,Shea,,West End,49.28059,-123.1364,Entire home/apt,200,1,170,2022-09-05,3.21,1,346,44,22-157544
755558,Kitsilano 2 bdrm Garden Level Suite,3976484,Lori,,Kitsilano,49.25996,-123.16653,Entire home/apt,125,2,78,2021-01-23,0.70,1,0,0,21-157483
763445,Very Convenient Mini-suite,169365,Peter,,Renfrew-Collingwood,49.24438,-123.04453,Entire home/apt,62,4,188,2022-08-17,1.59,1,34,8,22-156104
771366,Level | Studio | Lux Amenities Downtown Vancouver,2502595,Level Hotels And Furnished Suites,,Downtown,49.2794,-123.12181,Entire home/apt,225,30,6,2022-08-31,0.05,22,365,2,
771380,Level | Two Bedroom Suite | Lux Amenities Downtown,2502595,Level Hotels And Furnished Suites,,Downtown,49.27918,-123.12187,Entire home/apt,375,30,9,2022-07-31,0.08,22,365,2,
784153,The Garden Quarter in Kitsilano,3211112,Rasha,,Kitsilano,49.26186,-123.17438,Entire home/apt,92,30,54,2022-05-10,0.46,3,199,4,Long Term Listing
785297,The Nook in Kitsilano,3211112,Rasha,,Kitsilano,49.26355,-123.17326,Private room,86,14,73,2022-09-06,0.61,3,158,6,22-156050
785752,The Garden Nook in Kitsilano,3211112,Rasha,,Kitsilano,49.26213,-123.17482,Entire home/apt,134,30,3,2016-09-17,0.03,3,166,0,Long Term Rental Only
796603,Exellent for International Student,4196444,Milorad,,West End,49.28087,-123.13525,Shared room,30,30,0,,,1,0,0,
801222,fully furnished suite near VGH,4217281,Jennifer,,Fairview,49.25804,-123.12119,Entire home/apt,106,30,23,2021-10-26,0.20,3,40,1,
824612,East Village Private Garden Gem!,4326869,Marketa,,Hastings-Sunrise,49.28618,-123.05403,Entire home/apt,84,31,68,2022-08-07,0.58,1,126,5,
874731,Sunny room with private bathroom and large patio,2216706,Matthew,,Fairview,49.25785,-123.12199,Private room,139,6,63,2022-08-14,0.55,1,65,10,22-156503
875309,Heritage Home near Kits Beach,4621004,Judy,,Kitsilano,49.27073,-123.16325,Entire home/apt,375,7,35,2022-08-14,0.30,1,254,3,22156360
885600,"Dunbar near UBC: Clean, comfortable + quiet",4693732,David & Patti,,Dunbar Southlands,49.24803,-123.18517,Entire home/apt,130,3,229,2022-08-29,1.97,1,210,33,22-155942
958090,Private apartment-Yaletown Downtown,1200456,Nala,,Downtown,49.27744,-123.11524,Entire home/apt,434,30,10,2013-09-30,0.09,5,365,0,
961006,Oakridge Canada Line completely renovated home,5233549,Joyce,,Riley Park,49.23569,-123.10987,Entire home/apt,219,1,7,2017-07-21,0.06,4,0,0,20-185023
961831,Spacious Room in Character Home,3751879,Jayden,,Kitsilano,49.26648,-123.15939,Private room,150,4,30,2022-08-23,1.53,2,160,19,22-156862
980511,"261 Yaletown Studio at ""Space""",600607,Bruce Ward,,Downtown,49.27489,-123.12654,Entire home/apt,82,30,9,2022-05-20,0.10,35,0,2,
994969,152 Studio (no Bedroom),600607,Bruce Ward,,Downtown,49.28006,-123.12673,Entire home/apt,79,30,2,2022-08-13,0.02,35,0,1,
